case_id,amp,pw,Ea_mean,Ea_sigma,tfe,epife_read,Iref,VFB_read,VG_name,P0,Vth0,idmin0,idmax0,valid0,dV1,dV10,dV100,dP1,dP10,dP100,gradual,ratio1,ratio10,valid_ratio,progress_score,is_invalid,is_weak_all,is_early_saturate,is_progressive
A1p40_PW5p00em02us_Em1p00_Es0p15_tfe8p00em07_epi24p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,5e-08,1,0.15,8e-07,24,1e-07,-0.5,VGm0p8_to_2p2,0.45500000000002,0.543541990110709,6.2941103682283e-23,5.57013688436045e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW5p00em02us_Em1p00_Es0p15_tfe8p00em07_epi28p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,5e-08,1,0.15,8e-07,28,1e-07,-0.5,VGm0p8_to_2p2,0.45500000000002,0.548973841084048,8.92542925316649e-24,6.02773338319887e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW5p00em02us_Em1p00_Es0p15_tfe1p00em06_epi24p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,5e-08,1,0.15,1e-06,24,1e-07,-0.5,VGm0p8_to_2p2,0.45500000000002,0.534427601834445,1.62493194702161e-23,4.92364753854498e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW5p00em02us_Em1p00_Es0p15_tfe1p00em06_epi28p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,5e-08,1,0.15,1e-06,28,1e-07,-0.5,VGm0p8_to_2p2,0.45500000000002,0.540743472782513,9.25893914935475e-24,5.36769665602284e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW5p00em02us_Em1p00_Es0p20_tfe8p00em07_epi24p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,5e-08,1,0.2,8e-07,24,1e-07,-0.5,VGm0p8_to_2p2,0.305000000000014,0.599833046317532,3.4319586869794e-23,5.36666199113218e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW5p00em02us_Em1p00_Es0p20_tfe8p00em07_epi28p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,5e-08,1,0.2,8e-07,28,1e-07,-0.5,VGm0p8_to_2p2,0.305000000000014,0.597208435200259,1.67977103014534e-23,5.83787174339534e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW5p00em02us_Em1p00_Es0p20_tfe1p00em06_epi24p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,5e-08,1,0.2,1e-06,24,1e-07,-0.5,VGm0p8_to_2p2,0.305000000000014,0.605012323936914,1.67303480536361e-23,4.70108313897131e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW5p00em02us_Em1p00_Es0p20_tfe1p00em06_epi28p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,5e-08,1,0.2,1e-06,28,1e-07,-0.5,VGm0p8_to_2p2,0.305000000000014,0.601314213238274,3.1838135344827e-23,5.15822431613783e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW5p00em02us_Em1p00_Es0p25_tfe8p00em07_epi24p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,5e-08,1,0.25,8e-07,24,1e-07,-0.5,VGm0p8_to_2p2,0.22000000000001,0.632210925219053,1.8571060620665e-23,5.25149761401762e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW5p00em02us_Em1p00_Es0p25_tfe8p00em07_epi28p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,5e-08,1,0.25,8e-07,28,1e-07,-0.5,VGm0p8_to_2p2,0.22000000000001,0.62473013787004,1.739406123444e-23,5.73039186658648e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
