case_id,amp,pw,Ea_mean,Ea_sigma,tfe,epife_read,Iref,VFB_read,VG_name,dV1,dV10,dV100,A1,A10,A100,gradual,inc_1_10,inc_10_100,ratio1,ratio10,late_early_ratio,progress_score,is_invalid,is_weak_all,is_early_saturate,is_progressive,valid0,valid1,valid10,valid100,P0,P1,P10,P100,Vth0,Vth1,Vth10,Vth100,IDmin1,IDmin10,IDmin100,IDmax1,IDmax10,IDmax100,elapsed_s
A2p20_PW0p10us_Em0p95_Es0p20_tfe1p50em6_epi20p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,2.2,1e-07,0.95,0.2,1.5e-06,20,1e-07,-0.5,VGm0p8_to_2p2,0.237429713857791,0.555321743579542,0.529992436657205,0.237429713857791,0.555321743579542,0.529992436657205,0.292562722799414,0.317892029721751,-0.0253293069223375,0.447986985164015,1.04779182714775,-0.0796789618931562,-0.284392053029789,0,0,1,0,1,1,1,1,0.310000000000014,0.0300000000000013,-0.345000000000015,-0.315000000000014,0.620162378552028,0.857592092409819,1.17548412213157,1.15015481520923,1.92893846435407e-23,2.84129924029984e-23,5.66554414950976e-24,2.64916234424241e-06,1.99512637859563e-06,2.04701363886938e-06,11.7747482
A2p20_PW0p20us_Em1p05_Es0p25_tfe1p50em6_epi24p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,2.2,2e-07,1.05,0.25,1.5e-06,24,1e-07,-0.5,VGm0p8_to_2p2,0.010276065848928,0.317779632341541,0.296569587413869,0.010276065848928,0.317779632341541,0.296569587413869,0.286293521564941,0.307503566492613,-0.021210044927672,0.0346497627708116,1.0715179365242,-0.0689749558666711,-0.391976176710542,0,0,1,0,1,1,1,1,0.23000000000001,0.21500000000001,-0.22000000000001,-0.190000000000008,0.670341983612465,0.680618049461393,0.988121615954007,0.966911571026335,5.69437339145413e-24,3.23481213700958e-23,3.22810158844895e-23,3.43208027474202e-06,2.70215403732618e-06,2.75218477478318e-06,13.7633379
A2p20_PW0p10us_Em1p00_Es0p20_tfe1p50em6_epi20p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,2.2,1e-07,1,0.2,1.5e-06,20,1e-07,-0.5,VGm0p8_to_2p2,0.0593031469471044,0.415055502139414,0.343266919077686,0.0593031469471044,0.415055502139414,0.343266919077686,0.283963772130582,0.355752355192309,-0.0717885830617279,0.17276103128855,1.20913341505384,-0.201793697255837,-0.654089810239874,0,0,1,0,1,1,1,1,0.350000000000015,0.280000000000012,-0.140000000000006,-0.0550000000000026,0.586548147566796,0.6458512945139,1.00160364970621,0.929815066644482,8.91049827699932e-24,1.74826188963791e-23,1.1256237117217e-23,3.09044305842972e-06,2.35130126801007e-06,2.49998015180843e-06,11.7442617
A2p20_PW0p02us_Em1p00_Es0p20_tfe1p50em6_epi20p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,2.2,2e-08,1,0.2,1.5e-06,20,1e-07,-0.5,VGm0p8_to_2p2,-0.0298465473805669,0.355804623058442,0.313304628690683,0.0298465473805669,0.355804623058442,0.313304628690683,0.283458081310117,0.325958075677875,-0.0424999943677581,0.0952636656065287,1.13565070693455,-0.130384848663048,-0.52566777015653,0,0,1,0,1,1,1,1,0.325000000000015,0.360000000000016,-0.0950000000000042,-0.045000000000002,0.607760033746359,0.577913486365793,0.963564656804801,0.921064662437043,1.63044527371656e-23,5.12669557682052e-24,1.7444354595891e-23,3.23233885841033e-06,2.42994791321898e-06,2.5175058082581e-06,9.4187132
A2p00_PW0p50us_Em0p95_Es0p25_tfe1p50em6_epi20p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,2,5e-07,0.95,0.25,1.5e-06,20,1e-07,-0.5,VGm0p8_to_2p2,-0.0168107048464019,0.203539699524962,0.296591971137291,0.0168107048464019,0.203539699524962,0.296591971137291,0.279781266290889,0.18672899467856,0.093052271612329,0.0566795681688237,0.686261663606344,0.498327920484504,0.161405515183446,0,0,1,0,1,1,1,1,0.190000000000009,0.210000000000009,-0.0500000000000023,-0.160000000000007,0.721961981992022,0.70515127714562,0.925501681516984,1.01855395312931,2.61414549388403e-23,2.62630262188674e-23,3.1713768974148e-23,2.96654066363059e-06,2.50874211512849e-06,2.31639663069435e-06,17.4424858
A2p20_PW0p20us_Em1p00_Es0p20_tfe1p50em6_epi20p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,2.2,2e-07,1,0.2,1.5e-06,20,1e-07,-0.5,VGm0p8_to_2p2,0.106087156005308,0.457497227858958,0.385745832964054,0.106087156005308,0.457497227858958,0.385745832964054,0.279658676958746,0.35141007185365,-0.0717513948949036,0.275018281312695,1.18600692156172,-0.204181384205702,-0.649686408377093,0,0,1,0,1,1,1,1,0.330000000000015,0.205000000000009,-0.210000000000009,-0.125000000000005,0.603387375037126,0.709474531042434,1.06088460289608,0.989133208001181,1.67414112685922e-23,1.64053462724354e-23,9.06835528528146e-24,2.95770012342474e-06,2.22927432591863e-06,2.377499941438e-06,13.6498047
A2p20_PW0p05us_Em1p00_Es0p25_tfe1p50em6_epi24p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,2.2,5e-08,1,0.25,1.5e-06,24,1e-07,-0.5,VGm0p8_to_2p2,0.0883784338023484,0.35328595122256,0.367294416454146,0.0883784338023484,0.35328595122256,0.367294416454146,0.278915982651797,0.264907517420211,0.0140084652315859,0.240620139711222,0.961860391544137,0.0528805877915685,-0.310487528529996,0,0,1,0,1,1,1,1,0.22000000000001,0.0950000000000043,-0.280000000000012,-0.300000000000013,0.677225387740421,0.76560382154277,1.03051133896298,1.04451980419457,1.68882850042777e-23,1.7188417110383e-23,1.25925182797317e-23,3.2298419304747e-06,2.60225302913676e-06,2.56900205361302e-06,11.0532455
A2p20_PW0p05us_Em1p00_Es0p20_tfe1p50em6_epi24p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,2.2,5e-08,1,0.2,1.5e-06,24,1e-07,-0.5,VGm0p8_to_2p2,0.0107283107069424,0.346221054056286,0.286192596496076,0.0107283107069424,0.346221054056286,0.286192596496076,0.275464285789134,0.335492743349344,-0.0600284575602097,0.0374863320655097,1.20974846412923,-0.17892624728906,-0.658698765318478,0,0,1,0,1,1,1,1,0.325000000000015,0.310000000000014,-0.165000000000007,-0.0800000000000035,0.603072023345232,0.613800334052174,0.949293077401518,0.889264619841309,1.01371160305777e-23,9.6503497273933e-24,9.6477814721731e-24,3.59259075427593e-06,2.79391636347058e-06,2.93605909221834e-06,10.5163945
A2p20_PW0p20us_Em1p05_Es0p25_tfe1p50em6_epi20p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,2.2,2e-07,1.05,0.25,1.5e-06,20,1e-07,-0.5,VGm0p8_to_2p2,0.0126402231792357,0.326042899162929,0.287832178641183,0.0126402231792357,0.326042899162929,0.287832178641183,0.275191955461947,0.313402675983694,-0.0382107205217467,0.0439152538083426,1.13275347010239,-0.121922125909783,-0.545462899071008,0,0,1,0,1,1,1,1,0.22500000000001,0.21000000000001,-0.160000000000007,-0.115000000000005,0.692511053966384,0.70515127714562,1.01855395312931,0.980343232607567,1.6557586538526e-23,1.7264742317406e-23,1.63877883627267e-23,2.96654066363059e-06,2.31639663069435e-06,2.39497517172791e-06,14.3541311
A2p20_PW0p02us_Em0p95_Es0p25_tfe1p50em6_epi20p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,2.2,2e-08,0.95,0.25,1.5e-06,20,1e-07,-0.5,VGm0p8_to_2p2,0.182309820118836,0.453522140139548,0.453522140139548,0.182309820118836,0.453522140139548,0.453522140139548,0.271212320020712,0.271212320020712,0,0.40198659333972,1,0,-0.381305352998487,0,0,1,0,1,1,1,1,0.190000000000009,-0.0250000000000011,-0.345000000000016,-0.345000000000016,0.721961981992022,0.904271802110858,1.17548412213157,1.17548412213157,1.76869678732748e-23,1.96581163107046e-23,3.16119739526062e-23,2.55257768533907e-06,1.99512637859563e-06,1.99512637859563e-06,10.4514429
