case_id,amp,pw,Ea_mean,Ea_sigma,P0,Vth0,dV1,dV100,gradual,dP100,idmin0,idmax0,valid0,valid_ratio,elapsed_s
A1p80_PW2p00e+00us_Em0p90_Es0p40,1.8,2e-06,0.9,0.4,-0.0750000000000033,0.71971435869501,-0.0255179811933357,-0.0239639831884848,0.0015539980048509,0.0750000000000035,3.20551922176267e-23,3.42566801693405e-06,1,1,89.487813
A1p80_PW2p00e+00us_Em0p90_Es0p60,1.8,2e-06,0.9,0.6,-0.0850000000000036,0.723119784235284,-0.0273694087287578,-0.0273694087287578,0,0.0850000000000035,2.63495270962206e-23,3.41335784761635e-06,1,1,109.4610397
A1p80_PW2p00e+00us_Em0p90_Es0p80,1.8,2e-06,0.9,0.8,3.03576608295955e-16,0.695750375506525,-0.0015539980048509,-0.0015539980048509,0,0.00499999999999993,3.34022338077038e-23,3.51808184152376e-06,1,1,115.5924665
A2p20_PW2p00e-01us_Em0p50_Es0p40,2.2,2e-07,0.5,0.4,-1.62630325872833e-16,0.695750375506526,-0.0031279770880055,-0.0031279770880055,0,0.0100000000000005,1.67011169038519e-23,3.51808184152376e-06,1,1,64.7717714
A2p20_PW2p00e-01us_Em0p50_Es0p60,2.2,2e-07,0.5,0.6,-0.00500000000000025,0.697284688015849,-0.011163450233604,-0.00950686381063892,0.00165658642296507,0.0300000000000013,6.24259135159053e-23,3.51191618865581e-06,1,1,64.6837585
A2p20_PW2p00e-01us_Em0p50_Es0p80,2.2,2e-07,0.5,0.8,-0.0100000000000007,0.698799624477028,-0.0143562287757786,-0.0126783866947822,0.00167784208099642,0.0400000000000023,1.69135960873222e-23,3.50575120303195e-06,1,1,61.6250123
A2p20_PW2p00e-01us_Em0p70_Es0p40,2.2,2e-07,0.7,0.4,-0.020000000000001,0.70207548670175,-0.00632511119522472,-0.00632511119522472,0,0.020000000000001,1.71649140271561e-23,3.49342324140349e-06,1,1,63.407593
A2p20_PW2p00e-01us_Em0p70_Es0p60,2.2,2e-07,0.7,0.6,-0.00500000000000024,0.697284688015849,-0.00625653159881767,-0.00625653159881767,0,0.0200000000000008,6.24259135159053e-23,3.51191618865581e-06,1,1,60.9113695
A2p20_PW2p00e-01us_Em0p70_Es0p80,2.2,2e-07,0.7,0.8,-0.0050000000000002,0.697284688015849,-0.00950686381063892,-0.00950686381063892,0,0.0300000000000013,6.24259135159053e-23,3.51191618865581e-06,1,1,58.4590658
A2p20_PW2p00e-01us_Em0p90_Es0p40,2.2,2e-07,0.9,0.4,-0.0650000000000031,0.716688628281761,-0.0194039402659113,-0.0194039402659113,0,0.0600000000000031,1.67622814283347e-23,3.43798096866603e-06,1,1,35.2536722
A2p20_PW2p00e-01us_Em0p90_Es0p60,2.2,2e-07,0.9,0.6,-0.100000000000004,0.728139443127113,-0.0323890676205876,-0.0323890676205876,0,0.100000000000005,1.63109331419514e-23,3.39489784739119e-06,1,1,61.4569308
A2p20_PW2p00e-01us_Em0p90_Es0p80,2.2,2e-07,0.9,0.8,-0.0500000000000021,0.712003069395618,-0.0193806709770974,-0.0193806709770974,0,0.0600000000000026,1.64880988703959e-23,3.45645557696168e-06,1,1,58.2101942
A2p20_PW5p00e-01us_Em0p50_Es0p40,2.2,5e-07,0.5,0.4,8.67361737988442e-17,0.695750375506526,-0.0031279770880055,-0.0031279770880055,0,0.0100000000000003,1.89477361167604e-23,3.51808184152376e-06,1,1,69.1285924
A2p20_PW5p00e-01us_Em0p50_Es0p60,2.2,5e-07,0.5,0.6,-0.00500000000000026,0.697284688015849,-0.011163450233604,-0.00950686381063892,0.00165658642296507,0.0300000000000014,6.24259135159053e-23,3.51191618865581e-06,1,1,71.288026
A2p20_PW5p00e-01us_Em0p50_Es0p80,2.2,5e-07,0.5,0.8,-0.0100000000000005,0.698799624477028,-0.0143562287757789,-0.0126783866947822,0.00167784208099675,0.0400000000000019,3.12499255074891e-23,3.50575120303195e-06,1,1,77.7185506
A2p20_PW5p00e-01us_Em0p70_Es0p40,2.2,5e-07,0.7,0.4,-0.0250000000000009,0.703783229025631,-0.00803285351910532,-0.00803285351910576,4.44089209850063e-16,0.0250000000000011,1.61502893260896e-23,3.48726026936337e-06,1,1,70.9877119
A2p20_PW5p00e-01us_Em0p70_Es0p60,2.2,5e-07,0.7,0.6,5.20417042793065e-16,0.695750375506525,-0.00472221908949355,-0.00472221908949355,0,0.015,1.67011169038519e-23,3.51808184152376e-06,1,1,71.3757598
A2p20_PW5p00e-01us_Em0p70_Es0p80,2.2,5e-07,0.7,0.8,-0.00500000000000032,0.697284688015849,-0.00950686381063892,-0.00787130474879738,0.00163555906184154,0.0250000000000014,6.18364515164495e-23,3.51191618865581e-06,1,1,68.1706285
A2p20_PW5p00e-01us_Em0p90_Es0p40,2.2,5e-07,0.9,0.4,-0.0650000000000031,0.716688628281761,-0.0194039402659113,-0.0194039402659113,0,0.0600000000000034,1.67622814283347e-23,3.43798096866603e-06,1,1,42.4588032
A2p20_PW5p00e-01us_Em0p90_Es0p60,2.2,5e-07,0.9,0.6,-0.105000000000005,0.729770408109893,-0.0340200326033677,-0.0340200326033677,0,0.105000000000005,6.36135399650969e-24,3.38874592345064e-06,1,1,71.2823508
A2p20_PW5p00e-01us_Em0p90_Es0p80,2.2,5e-07,0.9,0.8,-0.0150000000000003,0.700345995343582,-0.00772359692506208,-0.00772359692506208,0,0.0250000000000006,3.20924289304768e-23,3.49958688662184e-06,1,1,68.0710628
A2p20_PW1p00e+00us_Em0p50_Es0p40,2.2,1e-06,0.5,0.4,-2.16840434497111e-16,0.695750375506526,-0.0031279770880055,-0.0031279770880055,0,0.0100000000000007,1.67011169038518e-23,3.51808184152376e-06,1,1,88.0337592
A2p20_PW1p00e+00us_Em0p50_Es0p60,2.2,1e-06,0.5,0.6,-0.00500000000000028,0.697284688015849,-0.011163450233604,-0.00950686381063892,0.00165658642296507,0.0300000000000015,6.24259135159053e-23,3.51191618865581e-06,1,1,78.8665985
A2p20_PW1p00e+00us_Em0p50_Es0p80,2.2,1e-06,0.5,0.8,-0.0100000000000006,0.698799624477028,-0.0143562287757787,-0.0126783866947822,0.00167784208099653,0.0400000000000023,3.12499255074891e-23,3.50575120303195e-06,1,1,90.8840902
A2p20_PW1p00e+00us_Em0p70_Es0p40,2.2,1e-06,0.7,0.4,-0.0250000000000013,0.703783229025631,-0.00803285351910499,-0.00803285351910499,0,0.0250000000000013,1.60098324060659e-23,3.48726026936337e-06,1,1,85.2333252
A2p20_PW1p00e+00us_Em0p70_Es0p60,2.2,1e-06,0.7,0.6,-0.00500000000000002,0.697284688015849,-0.00625653159881767,-0.00466228959732917,0.0015942420014885,0.0150000000000004,3.19118978267888e-23,3.51191618865581e-06,1,1,88.723807
A2p20_PW1p00e+00us_Em0p70_Es0p80,2.2,1e-06,0.7,0.8,-0.0100000000000002,0.698799624477028,-0.0110218002718175,-0.009386241209976,0.00163555906184154,0.0300000000000012,1.69135960873222e-23,3.50575120303195e-06,1,1,82.1786979
A2p20_PW1p00e+00us_Em0p90_Es0p40,2.2,1e-06,0.9,0.4,-0.0750000000000035,0.71971435869501,-0.0224296706791604,-0.0224296706791604,0,0.0700000000000035,6.25475264376857e-23,3.42566801693405e-06,1,1,64.8237813
A2p20_PW1p00e+00us_Em0p90_Es0p60,2.2,1e-06,0.9,0.6,-0.130000000000006,0.737619625435096,-0.0418692499285702,-0.0418692499285702,0,0.130000000000006,3.19305327497009e-23,3.35799697116561e-06,1,1,84.0891772
A2p20_PW1p00e+00us_Em0p90_Es0p80,2.2,1e-06,0.9,0.8,-0.0300000000000013,0.705469419884065,-0.0128470214655448,-0.0112730423823907,0.00157397908315415,0.0350000000000014,5.53391298671187e-24,3.48109797249654e-06,1,1,83.5734502
A2p20_PW2p00e+00us_Em0p50_Es0p40,2.2,2e-06,0.5,0.4,0,0.695750375506526,-0.0031279770880055,-0.0031279770880055,0,0.0100000000000004,3.11784619773039e-23,3.51808184152376e-06,1,1,117.1032173
A2p20_PW2p00e+00us_Em0p50_Es0p60,2.2,2e-06,0.5,0.6,-0.00500000000000024,0.697284688015849,-0.011163450233604,-0.00950686381063892,0.00165658642296507,0.0300000000000015,6.24259135159053e-23,3.51191618865581e-06,1,1,116.7595804
A2p20_PW2p00e+00us_Em0p50_Es0p80,2.2,2e-06,0.5,0.8,-0.0100000000000006,0.698799624477028,-0.0143562287757789,-0.0126783866947822,0.00167784208099675,0.040000000000002,3.12499255074891e-23,3.50575120303195e-06,1,1,126.9854508
A2p20_PW2p00e+00us_Em0p70_Es0p40,2.2,2e-06,0.7,0.4,2.16840434497111e-17,0.695750375506526,0,0,0,-2.16840434497111e-17,1.89477361167604e-23,3.51808184152376e-06,1,1,130.83727
A2p20_PW2p00e+00us_Em0p70_Es0p60,2.2,2e-06,0.7,0.6,-0.00500000000000002,0.697284688015849,-0.00625653159881767,-0.00625653159881767,0,0.0200000000000006,3.19118978267888e-23,3.51191618865581e-06,1,1,123.5858261
A2p20_PW2p00e+00us_Em0p70_Es0p80,2.2,2e-06,0.7,0.8,-0.00500000000000024,0.697284688015849,-0.00950686381063892,-0.00787130474879738,0.00163555906184154,0.0250000000000013,6.24259135159053e-23,3.51191618865581e-06,1,1,119.7501134
A2p20_PW2p00e+00us_Em0p90_Es0p40,2.2,2e-06,0.9,0.4,-0.0700000000000031,0.718211083703157,-0.0209263956873073,-0.0209263956873073,0,0.0650000000000027,9.76645673811724e-24,3.43182414604072e-06,1,1,82.3792732
A2p20_PW2p00e+00us_Em0p90_Es0p60,2.2,2e-06,0.9,0.6,-0.110000000000005,0.73138064208093,-0.0356302665744044,-0.0356302665744048,4.44089209850063e-16,0.110000000000005,1.64569489410287e-23,3.3825947077991e-06,1,1,125.6496799
A2p20_PW2p00e+00us_Em0p90_Es0p80,2.2,2e-06,0.9,0.8,-0.0250000000000014,0.703783229025631,-0.0111608306071106,-0.0111608306071106,0,0.0350000000000016,1.60098324060659e-23,3.48726026936339e-06,1,1,107.6283711
A2p60_PW2p00e-01us_Em0p50_Es0p40,2.6,2e-07,0.5,0.4,3.90312782094799e-16,0.695750375506525,-0.00312797708800505,-0.00312797708800505,0,0.00999999999999991,1.67011169038518e-23,3.51808184152376e-06,1,1,64.117865
A2p60_PW2p00e-01us_Em0p50_Es0p60,2.6,2e-07,0.5,0.6,-0.00500000000000045,0.697284688015849,-0.011163450233604,-0.011163450233604,0,0.0350000000000018,9.64810003864081e-24,3.51191618865581e-06,1,1,63.8265894
A2p60_PW2p00e-01us_Em0p50_Es0p80,2.6,2e-07,0.5,0.8,-0.0100000000000005,0.698799624477028,-0.0143562287757789,-0.0143562287757789,0,0.0450000000000021,3.19989761666105e-23,3.50575120303195e-06,1,1,68.4126758
A2p60_PW2p00e-01us_Em0p70_Es0p40,2.6,2e-07,0.7,0.4,-0.0050000000000003,0.697284688015849,-0.00153431250932368,-0.00153431250932368,0,0.00500000000000045,6.24259135159053e-23,3.51191618865581e-06,1,1,63.6917847
A2p60_PW2p00e-01us_Em0p70_Es0p60,2.6,2e-07,0.7,0.6,-0.00500000000000032,0.697284688015849,-0.00625653159881767,-0.00625653159881767,0,0.0200000000000008,6.18364515164495e-23,3.51191618865581e-06,1,1,63.1918738
A2p60_PW2p00e-01us_Em0p70_Es0p80,2.6,2e-07,0.7,0.8,-0.00500000000000045,0.697284688015849,-0.011163450233604,-0.00950686381063892,0.00165658642296507,0.0300000000000016,9.64810003864081e-24,3.51191618865581e-06,1,1,63.933141
A2p60_PW2p00e-01us_Em0p90_Es0p40,2.6,2e-07,0.9,0.4,-0.0650000000000028,0.716688628281761,-0.0194039402659114,-0.0194039402659114,0,0.0600000000000024,1.67622814283347e-23,3.43798096866603e-06,1,1,37.7535962
A2p60_PW2p00e-01us_Em0p90_Es0p60,2.6,2e-07,0.9,0.6,-0.095000000000004,0.726487502767794,-0.0307371272612686,-0.029202814751945,0.00153431250932368,0.0900000000000038,1.62457206846058e-23,3.40105047748306e-06,1,1,63.5646201
A2p60_PW2p00e-01us_Em0p90_Es0p80,2.6,2e-07,0.9,0.8,-0.00499999999999993,0.697284688015849,-0.00466228959732917,-0.00466228959732917,0,0.0150000000000004,3.19118978267888e-23,3.51191618865581e-06,1,1,62.5154294
A2p60_PW5p00e-01us_Em0p50_Es0p40,2.6,5e-07,0.5,0.4,0,0.695750375506526,-0.0031279770880055,-0.0031279770880055,0,0.0100000000000003,3.11784619773039e-23,3.51808184152376e-06,1,1,79.5771996
A2p60_PW5p00e-01us_Em0p50_Es0p60,2.6,5e-07,0.5,0.6,-0.00500000000000032,0.697284688015849,-0.011163450233604,-0.011163450233604,0,0.0350000000000017,6.18364515164495e-23,3.51191618865581e-06,1,1,68.8154564
A2p60_PW5p00e-01us_Em0p50_Es0p80,2.6,5e-07,0.5,0.8,-0.0100000000000006,0.698799624477028,-0.0160555418297913,-0.0126783866947822,0.00337715513500914,0.0400000000000021,3.12499255074891e-23,3.50575120303195e-06,1,1,71.6784588
A2p60_PW5p00e-01us_Em0p70_Es0p40,2.6,5e-07,0.7,0.4,-0.0250000000000011,0.703783229025631,-0.00803285351910499,-0.00803285351910499,0,0.0250000000000012,3.23005786521792e-23,3.48726026936337e-06,1,1,75.4579539
A2p60_PW5p00e-01us_Em0p70_Es0p60,2.6,5e-07,0.7,0.6,-0.00500000000000015,0.697284688015849,-0.00625653159881767,-0.00625653159881767,0,0.0200000000000009,3.19118978267888e-23,3.51191618865581e-06,1,1,72.304258
A2p60_PW5p00e-01us_Em0p70_Es0p80,2.6,5e-07,0.7,0.8,-0.00500000000000022,0.697284688015849,-0.00950686381063892,-0.00950686381063892,0,0.0300000000000013,6.24259135159053e-23,3.51191618865581e-06,1,1,71.3483449
A2p60_PW5p00e-01us_Em0p90_Es0p40,2.6,5e-07,0.9,0.4,-0.0600000000000026,0.71514667447125,-0.0178619864554006,-0.0178619864554006,0,0.0550000000000026,1.66635551868979e-23,3.44413848273631e-06,1,1,45.8674117
A2p60_PW5p00e-01us_Em0p90_Es0p60,2.6,5e-07,0.9,0.6,-0.110000000000005,0.73138064208093,-0.0356302665744044,-0.0356302665744044,0,0.110000000000005,1.64569489410287e-23,3.3825947077991e-06,1,1,74.6697685
A2p60_PW5p00e-01us_Em0p90_Es0p80,2.6,5e-07,0.9,0.8,-0.0250000000000013,0.703783229025631,-0.0111608306071105,-0.0111608306071105,0,0.0350000000000019,1.60098324060659e-23,3.48726026936337e-06,1,1,70.7122136
A2p60_PW1p00e+00us_Em0p50_Es0p40,2.6,1e-06,0.5,0.4,0,0.695750375506526,-0.0031279770880055,-0.0031279770880055,0,0.0100000000000004,3.11784619773039e-23,3.51808184152376e-06,1,1,86.4933984
A2p60_PW1p00e+00us_Em0p50_Es0p60,2.6,1e-06,0.5,0.6,-0.00500000000000041,0.697284688015849,-0.011163450233604,-0.011163450233604,0,0.0350000000000017,9.64810003864081e-24,3.51191618865581e-06,1,1,83.927617
