case_id,amp,pw,Ea_mean,Ea_sigma,tfe,epife_read,Iref,VFB_read,VG_name,dV1,dV3,dV10,dV30,dV100,dV300,dV1000,dV3000,A1,A3,A10,A30,A100,A300,A1000,A3000,ratio1,ratio10,ratio100,g1_1_10,g2_10_100,g3_100_1000,g4_1000_3000,A1e6_pred,is_mono,trend_good,score,Nread_str,Avec_str,elapsed_s
A1p75_PW0p03us_Em1p00_Es0p20_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.75,3e-08,1,0.2,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,-0.0307644924699007,-0.0411365347413952,-0.102662045626109,-0.102869136389872,-0.164581751151642,-0.143742017209197,-0.195086603469933,-0.205704380630346,0.0307644924699007,0.0411365347413952,0.102662045626109,0.102869136389872,0.164581751151642,0.143742017209197,0.195086603469933,0.205704380630346,0.149556817291047,0.499075641031652,0.800088703251282,0.0718975531562082,0.0619197055255328,0.030504852318291,0.0106177771604133,0.25061936030086,0,0,-2.83453360330408,[1 3 10 30 100 300 1000 3000],[0.0307645 0.0411365 0.102662 0.102869 0.164582 0.143742 0.195087 0.205704],135.1883272
A1p75_PW0p02us_Em1p00_Es0p18_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.75,2e-08,1,0.18,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,-0.0205259513664975,-0.0103720422714937,-0.0515632699375145,-0.12344965229412,-0.154363166482573,-0.164285267442486,-0.164510051366679,-0.205588673791898,0.0205259513664975,0.0103720422714937,0.0515632699375145,0.12344965229412,0.154363166482573,0.164285267442486,0.164510051366679,0.205588673791898,0.0998398938419844,0.250807931130039,0.750834973714665,0.031037318571017,0.102799896545058,0.0101468848841067,0.0410786224252188,0.379358142038075,0,0,-2.20645482247347,[1 3 10 30 100 300 1000 3000],[0.020526 0.010372 0.0515633 0.12345 0.154363 0.164285 0.16451 0.205589],118.9013901
A1p80_PW0p03us_Em1p00_Es0p18_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.8,3e-08,1,0.18,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,-0.0101582064686002,-0.0512251759197114,-0.123200944659097,-0.14375716979455,-0.153954504612411,-0.19541019128611,-0.205378317103559,-0.205400026699023,0.0101582064686002,0.0512251759197114,0.123200944659097,0.14375716979455,0.153954504612411,0.19541019128611,0.205378317103559,0.205400026699023,0.0494557212667028,0.599809779185792,0.749534978581107,0.113042738190497,0.0307535599533142,0.051423812491148,2.17095954641588e-05,0.205491861931972,1,0,0.380217170614408,[1 3 10 30 100 300 1000 3000],[0.0101582 0.0512252 0.123201 0.143757 0.153955 0.19541 0.205378 0.2054],134.9189272
A1p75_PW0p02us_Em0p95_Es0p20_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.75,2e-08,0.95,0.2,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,-0.0308567141965715,-0.0925215007167715,-0.102640512294279,-0.143711806999269,-0.133725850586443,-0.205704996657407,-0.164581751151642,-0.205335028815646,0.0308567141965715,0.0925215007167715,0.102640512294279,0.143711806999269,0.133725850586443,0.205704996657407,0.164581751151642,0.205335028815646,0.150274964649482,0.499868497286121,0.651256881778829,0.0717837980977075,0.0310853382921644,0.0308559005651983,0.0407532776640038,0.377728234110067,0,0,-5.16872807211698,[1 3 10 30 100 300 1000 3000],[0.0308567 0.0925215 0.102641 0.143712 0.133726 0.205705 0.164582 0.205335],149.9236106
A1p70_PW0p02us_Em1p00_Es0p18_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.7,2e-08,1,0.18,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,0,0,-0.0307275835579551,-0.0512599880910437,-0.0923312827960335,-0.113199899219946,-0.154363166482573,-0.195428995969396,0,0,0.0307275835579551,0.0512599880910437,0.0923312827960335,0.113199899219946,0.154363166482573,0.195428995969396,0,0.157231445648766,0.472454368084112,0.0307275835579551,0.0616036992380784,0.0620318836865393,0.0410658294868235,0.36914434793876,1,1,6.31893004387868,[1 3 10 30 100 300 1000 3000],[0 0 0.0307276 0.05126 0.0923313 0.1132 0.154363 0.195429],103.4293832
A1p70_PW0p03us_Em0p95_Es0p18_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.7,3e-08,0.95,0.18,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,0,-0.0512947412099954,-0.0617014759468766,-0.0410626532731845,-0.154306366490692,-0.154363166482573,-0.144032403652498,-0.195428995969396,0,0.0512947412099954,0.0617014759468766,0.0410626532731845,0.154306366490692,0.154363166482573,0.144032403652498,0.195428995969396,0,0.31572324076484,0.789577645452653,0.0617014759468766,0.0926048905438149,-0.0102739628381932,0.0513965923168974,0.412845208814202,0,0,-4.2569730935213,[1 3 10 30 100 300 1000 3000],[0 0.0512947 0.0617015 0.0410627 0.154306 0.154363 0.144032 0.195429],129.6599331
A1p75_PW0p03us_Em0p95_Es0p18_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.75,3e-08,0.95,0.18,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,-0.0615842977545267,-0.0617148010776924,-0.112898440448076,-0.133437339481064,-0.153954504612411,-0.144032403652499,-0.195428995969396,-0.195067094242942,0.0615842977545267,0.0617148010776924,0.112898440448076,0.133437339481064,0.153954504612411,0.144032403652499,0.195428995969396,0.195067094242942,0.315708284852123,0.578767223073865,0.789238724295915,0.0513141426935489,0.041056064164335,0.0414744913569854,-0.00036190172645395,0.195067094242942,0,0,-2.93240007982468,[1 3 10 30 100 300 1000 3000],[0.0615843 0.0617148 0.112898 0.133437 0.153955 0.144032 0.195429 0.195067],142.8617735
A1p80_PW0p02us_Em1p00_Es0p20_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.8,2e-08,1,0.2,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,-0.0411365347413954,-0.102846899935215,-0.102662045626109,-0.12344965229412,-0.143757169794551,-0.164285267442485,-0.195410191286108,-0.174903044602898,0.0411365347413954,0.102846899935215,0.102662045626109,0.12344965229412,0.143757169794551,0.164285267442485,0.195410191286108,0.174903044602898,0.235196218766759,0.586965457686537,0.821924913433833,0.0615255108847135,0.0410951241684421,0.0516530214915574,-0.0205071466832101,0.174903044602898,0,0,-2.79102426265586,[1 3 10 30 100 300 1000 3000],[0.0411365 0.102847 0.102662 0.12345 0.143757 0.164285 0.19541 0.174903],135.399015
A1p75_PW0p02us_Em0p95_Es0p18_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.75,2e-08,0.95,0.18,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,-0.030900139919429,-0.0822819587297332,-0.123436294041912,-0.113199899219946,-0.15395450461241,-0.153954504612411,-0.185139439424865,-0.174903044602898,0.030900139919429,0.0822819587297332,0.123436294041912,0.113199899219946,0.15395450461241,0.153954504612411,0.185139439424865,0.174903044602898,0.176670108799907,0.705741254088308,0.880227699648971,0.0925361541224832,0.0305182105704976,0.0311849348124553,-0.0102363948219676,0.174903044602898,0,0,-3.00081986251291,[1 3 10 30 100 300 1000 3000],[0.0309001 0.082282 0.123436 0.1132 0.153955 0.153955 0.185139 0.174903],135.6731837
A1p70_PW0p03us_Em0p95_Es0p20_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.7,3e-08,0.95,0.2,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,-0.0103307628300756,-0.0410540490144318,-0.0924715749729043,-0.0923920869485664,-0.112926651866588,-0.154026109497347,-0.185144478995432,-0.174830176497355,0.0103307628300756,0.0410540490144318,0.0924715749729043,0.0923920869485664,0.112926651866588,0.154026109497347,0.185144478995432,0.174830176497355,0.0590902728410384,0.528922276608828,0.645921969130408,0.0821408121428286,0.0204550768936841,0.0722178271288436,-0.010314302498077,0.174830176497355,0,0,-2.41919744317327,[1 3 10 30 100 300 1000 3000],[0.0103308 0.041054 0.0924716 0.0923921 0.112927 0.154026 0.185144 0.17483],131.4873442
