case_id,amp,pw,Ea_mean,Ea_sigma,tfe,epife_read,Iref,VFB_read,VG_name,dV1,dV3,dV10,dV30,dV100,dV300,dV1000,dV3000,A1,A3,A10,A30,A100,A300,A1000,A3000,ratio1,ratio10,ratio100,g1_1_10,g2_10_100,g3_100_1000,g4_1000_3000,A1e6_pred,is_mono,trend_good,score,Nread_str,Avec_str,elapsed_s
A1p70_PW0p03us_Em1p00_Es0p20_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.7,3e-08,1,0.2,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,-0.0205649412054814,0,-0.0411365347413959,-0.0925715152742642,-0.123422952352991,-0.133725850586443,-0.174543353236645,-0.174543353236645,0.0205649412054814,0,0.0411365347413959,0.0925715152742642,0.123422952352991,0.133725850586443,0.174543353236645,0.174543353236645,0.117821394078522,0.235680900925647,0.707119177352203,0.0205715935359145,0.0822864176115954,0.0511204008836533,2.77555756156289e-16,0.174543353236646,0,0,0.450463939811839,[1 3 10 30 100 300 1000 3000],[0.0205649 0 0.0411365 0.0925715 0.123423 0.133726 0.174543 0.174543],126.9729629
A1p65_PW0p05us_Em1p00_Es0p18_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.65,5e-08,1,0.18,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,-0.0103307628300757,0,-0.0205693770893534,-0.010197334817861,-0.0512599880910437,-0.113147567692041,-0.113199899219946,-0.102869136389872,0.0103307628300757,0,0.0205693770893534,0.010197334817861,0.0512599880910437,0.113147567692041,0.113199899219946,0.102869136389872,0.100426261876277,0.199956739321655,0.498302891323685,0.0102386142592776,0.0306906110016903,0.0619399111289022,-0.0103307628300741,0.102869136389872,0,0,0.444807500039297,[1 3 10 30 100 300 1000 3000],[0.0103308 0 0.0205694 0.0101973 0.05126 0.113148 0.1132 0.102869],94.989444
A1p65_PW0p02us_Em1p00_Es0p18_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.65,2e-08,1,0.18,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,0,0,-0.0103307628300741,-0.0205259513664975,-0.0410583463880274,-0.0512599880910443,-0.0923312827960344,-0.0923008047396685,0,0,0.0103307628300741,0.0205259513664975,0.0410583463880274,0.0512599880910443,0.0923312827960344,0.0923008047396685,0,0.11192494864169,0.444831943814912,0.0103307628300741,0.0307275835579534,0.051272936408007,-3.04780563659124e-05,0.0923008047396685,0,0,0.417654468854057,[1 3 10 30 100 300 1000 3000],[0 0 0.0103308 0.020526 0.0410583 0.05126 0.0923313 0.0923008],90.8067937
A1p70_PW0p05us_Em1p00_Es0p18_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.7,5e-08,1,0.18,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,0,0,-0.0615972181912053,-0.0926216163255437,-0.102880275204766,-0.102880275204765,-0.144002904683469,-0.164285267442486,0,0,0.0615972181912053,0.0926216163255437,0.102880275204766,0.102880275204765,0.144002904683469,0.164285267442486,0,0.374940608796645,0.626229465407074,0.0615972181912053,0.0412830570135607,0.0411226294787028,0.0202823627590169,0.250083066475949,1,0,0.410845317431961,[1 3 10 30 100 300 1000 3000],[0 0 0.0615972 0.0926216 0.10288 0.10288 0.144003 0.164285],123.8425098
A1p80_PW0p03us_Em1p00_Es0p18_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.8,3e-08,1,0.18,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,-0.0101582064686002,-0.0512251759197114,-0.123200944659097,-0.14375716979455,-0.153954504612411,-0.19541019128611,-0.205378317103559,-0.205400026699023,0.0101582064686002,0.0512251759197114,0.123200944659097,0.14375716979455,0.153954504612411,0.19541019128611,0.205378317103559,0.205400026699023,0.0494557212667028,0.599809779185792,0.749534978581107,0.113042738190497,0.0307535599533142,0.051423812491148,2.17095954641588e-05,0.205491861931972,1,0,0.380217170614408,[1 3 10 30 100 300 1000 3000],[0.0101582 0.0512252 0.123201 0.143757 0.153955 0.19541 0.205378 0.2054],134.9189272
A1p65_PW0p05us_Em0p95_Es0p20_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.65,5e-08,0.95,0.2,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,0,-0.0308133665511936,-0.0307644924699007,-0.0615842977545265,-0.0822642037906667,-0.112926651866588,-0.112926651866588,-0.133725850586443,0,0.0308133665511936,0.0307644924699007,0.0615842977545265,0.0822642037906667,0.112926651866588,0.112926651866588,0.133725850586443,0,0.23005643512444,0.61517054054922,0.0307644924699007,0.051499711320766,0.0306624480759213,0.0207991987198555,0.221709952489457,0,0,0.308019927002077,[1 3 10 30 100 300 1000 3000],[0 0.0308134 0.0307645 0.0615843 0.0822642 0.112927 0.112927 0.133726],134.3362145
A1p65_PW0p02us_Em0p95_Es0p18_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.65,2e-08,0.95,0.18,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,0,0,-0.0205693770893547,-0.0205693770893535,-0.0925715152742644,-0.0822908534954692,-0.113199899219946,-0.123213919561263,0,0,0.0205693770893547,0.0205693770893535,0.0925715152742644,0.0822908534954692,0.113199899219946,0.123213919561263,0,0.166940368122349,0.751307284143633,0.0205693770893547,0.0720021381849097,0.0206283839456814,0.010014020341317,0.16557490654141,0,0,0.184075689126658,[1 3 10 30 100 300 1000 3000],[0 0 0.0205694 0.0205694 0.0925715 0.0822909 0.1132 0.123214],106.8063329
A1p80_PW0p02us_Em0p95_Es0p18_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.8,2e-08,0.95,0.18,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,-0.0822819587297332,-0.113199899219946,-0.14401680994616,-0.15395450461241,-0.153954504612411,-0.195067094242941,-0.195410191286108,-0.236164519168925,0.0822819587297332,0.113199899219946,0.14401680994616,0.15395450461241,0.153954504612411,0.195067094242941,0.195410191286108,0.236164519168925,0.34840948597735,0.609815608428238,0.651895149848017,0.0617348512164271,0.00993769466625105,0.041455686673697,0.0407543278828167,0.408562167065212,1,0,0.152397374960145,[1 3 10 30 100 300 1000 3000],[0.082282 0.1132 0.144017 0.153955 0.153955 0.195067 0.19541 0.236165],143.8966671
A1p70_PW0p05us_Em1p00_Es0p20_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.7,5e-08,1,0.2,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,-0.0102753846609498,-0.0308013360274466,-0.0512947412099956,-0.0717945530090663,-0.133463381653556,-0.133725850586443,-0.154306366490692,-0.153978412031164,0.0102753846609498,0.0308013360274466,0.0512947412099956,0.0717945530090663,0.133463381653556,0.133725850586443,0.154306366490692,0.153978412031164,0.0667326317072951,0.333129433752141,0.866766840188896,0.0410193565490458,0.0821686404435603,0.0208429848371356,-0.000327954459527602,0.153978412031164,0,0,0.111752920058441,[1 3 10 30 100 300 1000 3000],[0.0102754 0.0308013 0.0512947 0.0717946 0.133463 0.133726 0.154306 0.153978],135.6109019
A1p80_PW0p03us_Em1p00_Es0p20_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.8,3e-08,1,0.2,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,-0.0514260912859265,-0.0821167022876168,-0.133725850586443,-0.133780415124195,-0.184830699420974,-0.205356650787472,-0.205646586108076,-0.215936142652607,0.0514260912859265,0.0821167022876168,0.133725850586443,0.133780415124195,0.184830699420974,0.205356650787472,0.205646586108076,0.215936142652607,0.238154162865916,0.619284242756797,0.855950732241828,0.0822997593005168,0.0511048488345311,0.0208158866871012,0.010289556544531,0.259462694023386,1,0,-0.0550754575709226,[1 3 10 30 100 300 1000 3000],[0.0514261 0.0821167 0.133726 0.13378 0.184831 0.205357 0.205647 0.215936],154.6769659
