case_id,amp,pw,Ea_mean,Ea_sigma,P0,Vth0,idmin0,idmax0,valid0,dV1,dV100,gradual,dP1,dP100,valid_ratio,is_small_all,is_fast_sat,is_good_prog,elapsed_s
A1p80_PW1p00e+00us_Em0p95_Es0p60,1.8,1e-06,0.95,0.6,-0.150000000000007,0.744156032991392,1.61626792468929e-23,3.33341074062754e-06,1,-0.0484056574848669,-0.0484056574848665,4.44089209850063e-16,0.150000000000007,0.150000000000007,1,1,0,0,88.493362
A1p80_PW1p00e+00us_Em0p95_Es0p70,1.8,1e-06,0.95,0.7,-0.160000000000007,0.747497694439763,5.84530613753606e-24,3.32112198423246e-06,1,-0.0517473189332374,-0.0517473189332374,0,0.160000000000007,0.160000000000007,1,0,1,0,89.3182166
A1p80_PW1p00e+00us_Em1p00_Es0p20,1.8,1e-06,1,0.2,0.335000000000015,0.587695496234624,1.85086482427975e-22,3.93260451248039e-06,1,-0.085791976811548,-0.100082380571035,0.0142904037594874,0.265000000000011,0.310000000000013,1,0,0,1,53.9538014
A1p80_PW1p00e+00us_Em1p00_Es0p30,1.8,1e-06,1,0.3,0.105000000000005,0.661696871319464,1.71350933043537e-23,3.64771128383139e-06,1,-0.0691537014721272,-0.0466278118840014,0.0225258895881257,0.21500000000001,0.145000000000007,1,1,0,0,50.0755361
A1p80_PW1p00e+00us_Em1p00_Es0p40,1.8,1e-06,1,0.4,-0.0750000000000032,0.71971435869501,3.20551922176267e-23,3.42566801693405e-06,1,-0.0224296706791607,-0.0159311296693793,0.00649854100978142,0.0700000000000028,0.0500000000000018,1,1,0,0,45.7128898
A1p80_PW1p00e+00us_Em1p00_Es0p50,1.8,1e-06,1,0.5,-0.190000000000008,0.757025230559094,6.24138451795409e-23,3.28427336594107e-06,1,-0.0612748550525685,-0.0612748550525685,0,0.190000000000008,0.190000000000008,1,0,1,0,72.2814134
A1p80_PW1p00e+00us_Em1p00_Es0p60,1.8,1e-06,1,0.6,-0.180000000000008,0.753930218649596,2.2637639987548e-24,3.29655327873955e-06,1,-0.0581798431430709,-0.0581798431430709,0,0.180000000000008,0.180000000000008,1,0,1,0,71.7506509
A1p80_PW1p00e+00us_Em1p00_Es0p70,1.8,1e-06,1,0.7,-0.165000000000007,0.749136811482715,3.09600001344659e-23,3.31497870356291e-06,1,-0.053386435976189,-0.053386435976189,0,0.165000000000007,0.165000000000007,1,0,1,0,77.6728543
A2p20_PW2p00e-01us_Em0p75_Es0p20,2.2,2e-07,0.75,0.2,0.185000000000008,0.636012589105686,6.23683169605173e-23,3.74666280451457e-06,1,0.182274111179597,0.180752622447493,0.00152148873210389,-0.565000000000025,-0.560000000000025,1,0,1,0,30.8751279
A2p20_PW2p00e-01us_Em0p75_Es0p30,2.2,2e-07,0.75,0.3,0.00500000000000011,0.694196377501674,3.17550253959569e-23,3.52424815967458e-06,1,0.0015539980048509,0.0015539980048509,0,-0.0049999999999997,-0.00499999999999941,1,1,0,0,45.4751795
A2p20_PW2p00e-01us_Em0p75_Es0p40,2.2,2e-07,0.75,0.4,-0.0500000000000024,0.712003069395618,9.13503073817031e-24,3.45645557696168e-06,1,-0.0162526938890923,-0.0162526938890919,4.44089209850063e-16,0.0500000000000027,0.0500000000000026,1,1,0,0,53.2071197
A2p20_PW2p00e-01us_Em0p75_Es0p50,2.2,2e-07,0.75,0.5,-0.020000000000001,0.70207548670175,1.71649140271561e-23,3.49342324140349e-06,1,-0.00632511119522472,-0.00632511119522472,0,0.020000000000001,0.0200000000000011,1,1,0,0,62.6605332
A2p20_PW2p00e-01us_Em0p75_Es0p60,2.2,2e-07,0.75,0.6,-0.0150000000000006,0.700345995343583,3.20924289304768e-23,3.49958688662184e-06,1,-0.00459561983705692,-0.00459561983705692,0,0.0150000000000006,0.0150000000000006,1,1,0,0,61.5068559
A2p20_PW2p00e-01us_Em0p75_Es0p70,2.2,2e-07,0.75,0.7,-4.33680868994221e-17,0.695750375506526,3.11784619773039e-23,3.51808184152376e-06,1,-0.004722219089494,-0.004722219089494,0,0.0150000000000006,0.0150000000000008,1,1,0,0,56.5650827
A2p20_PW2p00e-01us_Em0p80_Es0p20,2.2,2e-07,0.8,0.2,0.22500000000001,0.623034489518614,3.13570492570327e-23,3.79619643178601e-06,1,0.221206126393347,0.2146611276113,0.00654499878204762,-0.685000000000031,-0.66500000000003,1,0,1,0,30.8042826
A2p20_PW2p00e-01us_Em0p80_Es0p30,2.2,2e-07,0.8,0.3,0.0250000000000009,0.68777782420521,1.62961689863274e-23,3.54892004617075e-06,1,0.0125681711383722,0.0226230272015042,0.0100548560631321,-0.0400000000000016,-0.070000000000003,1,1,0,0,29.6560126
A2p20_PW2p00e-01us_Em0p80_Es0p40,2.2,2e-07,0.8,0.4,-0.0550000000000025,0.713584918245198,3.17269015443219e-23,3.45029668618681e-06,1,-0.0178345427386728,-0.0178345427386724,4.44089209850063e-16,0.0550000000000029,0.0550000000000024,1,1,0,0,62.9060829
A2p20_PW2p00e-01us_Em0p80_Es0p50,2.2,2e-07,0.8,0.5,-0.0700000000000029,0.718211083703157,9.76645673811723e-24,3.43182414604072e-06,1,-0.0240147062014827,-0.0240147062014827,0,0.0750000000000034,0.0750000000000031,1,1,0,0,58.6900653
A2p20_PW2p00e-01us_Em0p80_Es0p60,2.2,2e-07,0.8,0.6,-0.0150000000000009,0.700345995343583,2.0157307157786e-23,3.49958688662184e-06,1,-0.00772359692506275,-0.00614961784190859,0.00157397908315415,0.0250000000000012,0.0200000000000011,1,1,0,0,58.0845854
A2p20_PW2p00e-01us_Em0p80_Es0p70,2.2,2e-07,0.8,0.7,-0.00500000000000009,0.697284688015849,3.19118978267888e-23,3.51191618865581e-06,1,-0.00308831051417502,-0.00308831051417502,0,0.0100000000000003,0.0100000000000002,1,1,0,0,58.6220564
A2p20_PW2p00e-01us_Em0p85_Es0p20,2.2,2e-07,0.85,0.2,0.270000000000012,0.608696312687809,1.24205318033179e-22,3.85196647500492e-06,1,0.228999304442104,0.237224710707343,0.00822540626523927,-0.710000000000031,-0.735000000000033,1,0,1,0,30.785571
A2p20_PW2p00e-01us_Em0p85_Es0p30,2.2,2e-07,0.85,0.3,0.045000000000002,0.681023096108361,4.07161158428552e-23,3.57360242243314e-06,1,0.0581072459709722,0.0614299532742765,0.00332270730330431,-0.180000000000008,-0.190000000000008,1,0,1,0,28.8496335
A2p20_PW2p00e-01us_Em0p85_Es0p40,2.2,2e-07,0.85,0.4,-0.0500000000000017,0.712003069395618,3.62688068199561e-24,3.45645557696168e-06,1,-0.0162526938890923,-0.0162526938890919,4.44089209850063e-16,0.0500000000000023,0.0500000000000018,1,1,0,0,54.8978531
A2p20_PW2p00e-01us_Em0p85_Es0p50,2.2,2e-07,0.85,0.5,-0.090000000000004,0.724814355855837,3.2370270362338e-23,3.4072038115978e-06,1,-0.0290639803493109,-0.0290639803493109,0,0.0900000000000039,0.0900000000000039,1,1,0,0,58.0196909
A2p20_PW2p00e-01us_Em0p85_Es0p60,2.2,2e-07,0.85,0.6,-0.065000000000003,0.716688628281761,1.91548416152047e-23,3.43798096866603e-06,1,-0.020938252775235,-0.020938252775235,0,0.065000000000003,0.0650000000000031,1,1,0,0,58.5180612
A2p20_PW2p00e-01us_Em0p85_Es0p70,2.2,2e-07,0.85,0.7,-0.0250000000000011,0.703783229025631,3.23005786521792e-23,3.48726026936337e-06,1,-0.012755072608599,-0.0111608306071105,0.0015942420014885,0.0400000000000017,0.0350000000000015,1,1,0,0,55.7456874
A2p20_PW2p00e-01us_Em0p90_Es0p20,2.2,2e-07,0.9,0.2,0.255000000000012,0.613506305356327,9.33984617056149e-23,3.83337126809115e-06,1,0.156620124164202,0.224189311773587,0.0675691876093848,-0.485000000000022,-0.695000000000031,1,0,0,1,29.6484186
A2p20_PW2p00e-01us_Em0p90_Es0p30,2.2,2e-07,0.9,0.3,0.0700000000000032,0.673238645305263,1.65532829334678e-23,3.60446995892775e-06,1,0.0952614014849056,0.0952614014849056,0,-0.295000000000013,-0.295000000000013,1,0,1,0,29.3072599
A2p20_PW2p00e-01us_Em0p90_Es0p40,2.2,2e-07,0.9,0.4,-0.0600000000000029,0.71514667447125,1.66635551868979e-23,3.44413848273631e-06,1,-0.0178619864554006,-0.0178619864554006,0,0.0550000000000028,0.0550000000000028,1,1,0,0,34.9246
A2p20_PW2p00e-01us_Em0p90_Es0p50,2.2,2e-07,0.9,0.5,-0.140000000000006,0.740728359121953,1.70617238924908e-23,3.3457024088559e-06,1,-0.0449779836154272,-0.0449779836154272,0,0.140000000000006,0.140000000000006,1,1,0,0,54.5888894
A2p20_PW2p00e-01us_Em0p90_Es0p60,2.2,2e-07,0.9,0.6,-0.115000000000005,0.732970402753516,3.16995288201472e-23,3.37644420258365e-06,1,-0.0372200272469898,-0.0372200272469898,0,0.115000000000005,0.115000000000005,1,1,0,0,58.6913279
A2p20_PW2p00e-01us_Em0p90_Es0p70,2.2,2e-07,0.9,0.7,-0.0500000000000015,0.712003069395618,1.64880988703959e-23,3.45645557696168e-06,1,-0.0178066918939432,-0.0178066918939432,0,0.0550000000000015,0.0550000000000014,1,1,0,0,55.2355118
A2p20_PW2p00e-01us_Em0p95_Es0p20,2.2,2e-07,0.95,0.2,0.305000000000014,0.59720843520026,9.27524862296016e-23,3.89537519006119e-06,1,0.101591189276768,0.206659613519383,0.105068424242615,-0.315000000000014,-0.640000000000029,1,0,0,1,28.4293942
A2p20_PW2p00e-01us_Em0p95_Es0p30,2.2,2e-07,0.95,0.3,0.100000000000004,0.663409381920075,1.7275456267576e-23,3.64153205941588e-06,1,0.105090664870093,0.129292194409504,0.0242015295394107,-0.325000000000014,-0.400000000000018,1,0,0,1,30.2974891
A2p20_PW2p00e-01us_Em0p95_Es0p40,2.2,2e-07,0.95,0.4,-0.0600000000000028,0.71514667447125,1.66635551868979e-23,3.44413848273631e-06,1,-0.0193962989647247,-0.0193962989647247,0,0.0600000000000031,0.060000000000003,1,1,0,0,43.3637382
A2p20_PW2p00e-01us_Em0p95_Es0p50,2.2,2e-07,0.95,0.5,-0.170000000000008,0.750755100632458,9.04297249255623e-24,3.30883615758013e-06,1,-0.0550047251259327,-0.0550047251259331,4.44089209850063e-16,0.170000000000008,0.170000000000008,1,0,1,0,44.0238498
A2p20_PW2p00e-01us_Em0p95_Es0p60,2.2,2e-07,0.95,0.6,-0.175000000000008,0.75235281437794,9.1624496268045e-24,3.30269434854779e-06,1,-0.0566024388714143,-0.0566024388714143,0,0.175000000000008,0.175000000000008,1,0,1,0,53.5969208
A2p20_PW2p00e-01us_Em0p95_Es0p70,2.2,2e-07,0.95,0.7,-0.125000000000006,0.736089602692928,9.51028068281694e-24,3.36414533209621e-06,1,-0.0418932251912532,-0.0403392271864018,0.00155399800485134,0.130000000000006,0.125000000000006,1,1,0,0,58.5398535
A2p20_PW2p00e-01us_Em1p00_Es0p20,2.2,2e-07,1,0.2,0.335000000000015,0.587695496234624,1.85086482427975e-22,3.93260451248039e-06,1,0.0242279482691569,0.140443946892489,0.116215998623332,-0.0750000000000034,-0.435000000000019,1,0,0,1,36.3727809
A2p20_PW2p00e-01us_Em1p00_Es0p30,2.2,2e-07,1,0.3,0.110000000000005,0.659968031621737,1.70065178725019e-23,3.65389113419492e-06,1,0.0858694786801595,0.138906836798672,0.053037358118513,-0.265000000000012,-0.430000000000018,1,0,0,1,31.6302199
A2p20_PW2p00e-01us_Em1p00_Es0p40,2.2,2e-07,1,0.4,-0.0650000000000031,0.716688628281761,1.67622814283347e-23,3.43798096866603e-06,1,-0.00791062696382117,-0.006287776875046,0.00162285008877516,0.0250000000000011,0.0200000000000011,1,1,0,0,26.5901028
A2p20_PW2p00e-01us_Em1p00_Es0p50,2.2,2e-07,1,0.5,-0.22000000000001,0.766852741306219,1.62596566488811e-23,3.24745160856157e-06,1,-0.071102365799693,-0.071102365799693,0,0.22000000000001,0.22000000000001,1,0,1,0,55.1912978
A2p20_PW2p00e-01us_Em1p00_Es0p60,2.2,2e-07,1,0.6,-0.180000000000008,0.753930218649596,3.17426725521809e-23,3.29655327873955e-06,1,-0.0581798431430702,-0.0581798431430702,0,0.180000000000008,0.180000000000008,1,0,1,0,55.6085274
A2p20_PW2p00e-01us_Em1p00_Es0p70,2.2,2e-07,1,0.7,-0.180000000000008,0.753930218649596,9.29606532857761e-24,3.29655327873955e-06,1,-0.0581798431430705,-0.0581798431430705,0,0.180000000000008,0.180000000000008,1,0,1,0,61.7958188
